Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Escobar Ohmstede|Antonio|Teresa Rojas Rabiela|Coordinadores|La presencia del indígena en la prensa capitalina del siglo XIX|II||Primera|||México, D.F|CIESAS-INI|||1993|560||
Escobar Ohmstede|Antonio|Teresa Rojas Rabiela|Coordinadores|La presencia del indígena en la prensa capitalina del siglo XIX|I||Primera|||México, D.F|CIESAS-INI|||1992|566|Cuadros |
Daltabuit Godás|Magalí|||Mujeres mayas. Trabajo, nutrición y fecundidad|||Primera|||México, D.F|UNAM|||1992|238|Fotos y Cuadros|
Wright Mills|C.|||Los marxistas|||Primera||Trad. Por José Luis González|México, D.F|Ediciones Era |||1964|429||
||||Marx. Crítica del programa Gotha|||Primera|||Moscú|Editorial Progreso||||43||
Tse-Tung|Mao|||On correcting mistaken ideas in the party|||Primera|||Pekín|Foreing Languages Press|||1966|15||
Tse-Tung|Mao|||Reform our study|||Primera|||Pekín|Foreing Languages Press|||1965|10||
Castro Domingo|Pablo|||Chayotes, burros y machetes|||Primera|||México, D.F|El Colegio Mexiquense|||2003|288|Cuadros |
Dehouve|Daniele|||Ensayo de Geopolítica Indígena|||Primera|||México, D.F|CIESAS-Miguel Ángel Porrúa|||2001|312||
Cama Villafranca|Jaime|Rodrigo Witker Barra|Coordinadores|Memoria del simposio patrimonio y política cultural para el siglo XXI|||Primera|||México, D.F|INAH|Colección Científica||1994|136||
Debray |Regis|||¿Revolución en la revolución?|||Primera|||La Habana, Cuba|Casa de las |||1967|110||
O´Gorman|Edmundo|||La supervivencia política Novo-Hispana|||Primera|||México, D.F|CONDUMEX|||1969|93||
||||Criminales nazis y de guerra en Alemania Occidental|||Primera||||Editorial Zeit Im Bild||||434|Fotos|
Mark|Charles C.|||La politique culturelle|||Primera|||París|Unesco||2|1969|48||
Seara Vázquez|Modesta|||El derecho internacional público|||Segunda|||México, D.F|Editorial Pomarca|||1967|282||
Althusser||||Crítica previa a la lectura del capital|||Primera|||Buenos Aires|Cuervo||20|1977|43||
Pellicer de Brody|Olga|||La revolución cubana en México|||Primera|||México, D.F|El Colegio de México|||1968|360-383|Cuadros |
Ramírez Gómez|Ramón|||Cuba Socialista|||Primera|||México, D.F|"""Sobretiro de Ciencias Políticas y Sociales"""|||1962|33||
||||División Política Administrativa|||Primera|||La Habana, Cuba|[Partido Comunista de Cuba]|||1975|40|Cuadros y mapas|
||||Situación y perspectivas de la Revolución Guatemalteca|||Primera|||México|[PGT]|||1968|35||
Macleod |Morna|||Gam-comadres: Un análisis comparativo|||Primera|||Guatemala|CITGUA||12|1986|46||
De la Rosa|Diógenes|||El canal de Panama|||Primera|||México, D.F|Fondo de Cultura Económica|||1976|61|Fotos|
Dimas Huacuz|Nestor|||Forma y composición de la tenencia de la tierra Santa Fe de la Laguna|||Primera|||México, D.F|SEP-INI|SepSetentas|23|1982|161|Cuadros|
Scheffler|Lilian|||Grupos Indígenas de México|||Primera|1990||México, D.F|Panorama Editorial|||1985|250||
Davalos|Marcela|Gerardo Necoechea et al|Coordinadores|Una mirada al fondo de la historia|||Primera|||México, D.F|Yeuetlatolli, A.C|Colección Ahuaehuete|8|2003|369||
Nolasco|Margarita|Virginia Molina et al||Los municipios de las fronteras de México|||Primera|||México, D.F|Centro de Ecodesarrollo|||1990|300|Mapa, Cuadros|
Nolasco|Margarita|||Migración Indígena a las fronteras nacionales|||Primera|||México, D.F|Centro de Ecología y Desarrollo|||1995|184|Mapa, Cuadros|
Barceló|Raquel|María Ana Portal et al|Coordinadoras|Diversidad étnica y conflicto en América Latina||I|Primera|||México, D.F|Plaza y Valdés|||1995|251|Cuadros|
Salazar|Ana María|Margarita Nolasco et al||La producción cafetalera en México, 1977-1987|||Primera|||México, D.F|UNAM|||1992|106|Cuadros|
Béjar|Raúl|Héctor Rosales|Coordinadores|La identidad nacional mexicana como problema político y cultural. Los desafíos de la pluralidad.|||Primera|||México, D.F|UNAM|||2002|415|Cuadros|
||||La autonomía de los pueblos indios|||Primera|||México, D.F|PRD|||1996|169||
Gómez Ramírez|Martín|||Ofrenda de los ancestros en Oxchuc|||Segunda|||Tuxtla Gutiérrez, Chiapas.|Gobierno del Estado de Chiapas|||1991|231|Ilustraciones y Fotos|
Comas|Juan|||Relaciones inter-raciales en América Latina: 1940-1960|||Primera|||México|UNAM||12|1961|77||
Vogt|Evon Z.|||Los zinacantecos: un grupo maya en el siglo XX|||Primera||Trad. Por Carmen Viqueira|México, D.F|SEP|SepSetentas||1973|175|Fotos y Cuadros|
Recinos|Adrián|||Memorial de Solola anales de los Cakchiqueles|||Primera|||Guatemala|IDAEH-Piedra Santa|||1980|247||
||||Primeros auxilios para la protección de la libertad personal|||Primera|||México, D.F|CNDH|||1996|11||9
Nolasco|Margarita|||Agricultura y desarrollo económico||XXXV|Primera|||México|Congreso Internacional de Americanistas|||1964|220-228||
Cervantes|Mayan||Coordinador|Mesoamérica y Los Andes|||Primera|||México, D.F|CIESAS|||1996|596|Ilustraciones y Cuadros|
Ortiz-Osés|Andrés|||Las claves simbólicas de nuestra cultura|||Primera|||Barcelona|Editorial Antropos||13|1993|463|Fotos|
Cardoso de Oliveira|Roberto|||Etnicidad y estructura social|||Primera|||México, D.F|CIESAS|Colección Miguel Othón de Mendizabal||1992|158||
Jameson|Fredric|Slavoj Zizek||Estudios Culturales. Reflexiones sobre el multiculturaluismo|||Primera|2003|Trad. Por Moira Irigoyen|Buenos Aires|Editorial Paidós|||1998|188||
Sabater Pi|J.|||El champancé y los orígenes de la cultura|||Tercera|||Barcelona|Editorial Antropos|||1992|142|Ilustraciones, cuadros, fotos y mapas|
Montagu|Ashley|||Race, science and humanity|||Primera|||Nueva York|D. Van Nostrand Company|||1963|183|Mapas|
Balandier|Georges|||Teoría de la descolonización|||Primera||Trad. Por Rafael Di Muro|Buenos Aires|Editorial Tiempo Contemporáneo|Colección Crítica Ideológica||1973|260||
