Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
O. Heacy|Earl|John L. Dillon|Agricultural production functions||||||EUA|Iowa State University Press|||1961|661 pp.||
INEGI|||Estadisticas demograficas|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|Cuaderno de Población|3|1992|480 pp.|Est|
INEGI|||Defunciones de los Estados Unidos Méxicanos 1976 - 1992|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1994|138 pp.||
INEGI|||Estados Unidos Mexicanos resultados preliminares VII censo agropecuario 1991|||Primera|1993||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|111 pp.|Est - Ilus|
INEGI|||Migración|1||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|728 pp.|Est|
INEGI|||Migración|2||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|1208 pp.|Est|
INEGI|||Anuario Estadístico del Estado de Chihuahua|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|419 pp.|Est|
INEGI|||Anuario Estadístico del Estado de Chiapas|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|363 pp.|Est|
INEGI|||Anuario Estadístico del Estado de Coahuila|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|315 pp.|Est|
INEGI|||Anuario Estadístico del Estado de Campeche|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|231 pp.|Est|
INEGI|||Anuario Estadistico del Estado de Baja California|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|249 pp.|Est|
INEGI|||Estadistica de la Indutria Maquiladora de Exportación|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1994|59 pp.|Est - Ilus|
INEGI|||México en el Mundo, 1989|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1989|108 pp.|Est|
INEGI|||Querétaro Resultados Definitivos|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1991|472 pp.|Est|
INEGI|||Frontera Sur|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|608 pp.|Est|
INEGI|||La Frontera Norte|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|38 pp.|Est|
INEGI|||Frontera Norte|1||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|734 pp.|Est|
INEGI|||Frontera Norte|2||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|1103 pp.|Est|
INEGI|||Cuernavaca Estado de Morelos|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1994|113 pp.|Est|
INEGI|||Características de las viviendad|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1993|326 pp.|Est|
INEGI|||Cuaderno de Información Oportuna|||Primera|||México|Instituto Nacional de Estadística, Geografía e Informatíca|||1995|194 pp.|Est - Tbls|
Riva Palacio|Vicente||México a través de los siglos|1||23|1988||México|Editorial Cumbre|||1988|457 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|2||23|1988||México|Editorial Cumbre|||1988|455 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|3||23|1988||México|Editorial Cumbre|||1988|458 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|4||23|1988||México|Editorial Cumbre|||1988|259 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|5||23|1988||México|Editorial Cumbre|||1988|392 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|6||23|1988||México|Editorial Cumbre|||1988|398 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|7||23|1988||México|Editorial Cumbre|||1988|439 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|8||23|1988||México|Editorial Cumbre|||1988|439 pp.|Ilus|
Riva Palacio|Vicente||México a través de los siglos|9||23|1988||México|Editorial Cumbre|||1988|470 pp.|Ilus|
