Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Restrepo |Iván||Coordinador|Conflicto entre ciudad y campo en América Latina|||Primera|||México, D.F|CECODES|||1980|377|Cuadros|
De Teresa|Ana Paula|||Crisi agrícola y economía campesina. El caso de los productores de Henequen en Yucatán|||Primera|||México, D.F|Grupo Editorial Miguel Ángel Porrúa|Las ciencias sociales||1992|305|Cuadros|
||||Cultivos del Caribe. La cultura de la Caña de Azúcar, el Tabaco y el Café|||Primera|||México, D.F|SEP-Programa Cultural de las Fronteras|||1988|124|Fotos, mapas y fotos|2
Hernández Acosta|Teodoro|||Nacimiento y Fracaso del Algodón-Matamoros|||Primera|||Reynosa, Tamaulipas|Universidad Autónoma de Tamaulipas|||1980|81|Fotos y cuadros|
Azpeitia Gómez|Hugo|||Compañía Exportadora e Importadora Mexicana (1949-1958)|||Primera|||México, D.F|CIESAS|||1994|175|Cuadros|
Gómez Zepeda|Ignacio|||Historia de las unidades de riego. Memorias de un soñador|||Primera|||México, D.F|CIESAS|||1994|90||
Arreguín Mañon|José P.|||Dos testimonios sobre historia de los aprovechamientos hidraúlicos en México|||Primera|||México, D.F|CIESAS|||1994|120||
Castañeda González|Rocío|||Irrigación y reforma agraria: las comunidades de riego del valle de Santa Rosalía, Chihuahua 1920-1945|||Primera|||México, D.F|CIESAS|||1995|165||
Palerm|Angel|Eric wolf||Agricultura y civilización en mesoamérica|||Primera|||México, D.F|SEP|Sep Setentas|32|1972|215||
De Grammont|Hubert C.|Héctor Tejera Gaona|Coordinadores|La sociedad rural mexicana frente al nuevo milenio||I|Primera|||México, D.F|INAH-Casa abierta al tiempo-Plaza y Valdés-UNAM|||1996|432|Cuadros|
De Grammont|Hubert C.|Héctor Tejera Gaona|Coordinadores|La sociedad rural mexicana frente al nuevo milenio||II|Primera|||México, D.F|INAH-Casa abierta al tiempo-Plaza y Valdés-UNAM|||1996|333|Cuadros|
Moguel |Julio|Blanca Rubio et al||Ensayos sobre la cuestión agraria y el campesinado|||Segunda|||México|Juan Pablos Editor|||1988|186||
Ponce Jiménez|Martha Patricia|||La montaña chiclera campeche: vida cotidiana y trabajo (1900-1950)|||Primera|||México, D.F|CIESAS|Cuadernos de la casa chata|172|1990|232|Cuadros|
Gómez Robledo|Antonio|||Aristóteles. Ética nicomaquea. Política|||Quinta|||México|Editorial Porrúa||70|1973|319||
Rosental|M.|||"Los problemas de la dialéctica en ""El capital de Marx"""|||Primera|||Montevideo, Uruguay|Ediciones Pueblos Unidos|||1961|158||
Engels|F.|||Ludwing Feuerbach y el fin de la filosofía clásica alemana|||Primera|||Moscú|Ediciones Lenguas Extranjeras||||68||
