Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Rojas Rabiela |Teresa|||Presente, pasado y futuro de las chinampas|||Primera|||México, D.F|CIESAS|||1995|324|Fotos y cuadros|
Bochenski|I.M|||La filosofía actual|||Quinta|||México, D.F|Fondo de Cultura Económica|||1969|338||
Dewey |John|||El hombre y sus problemas |||Segunda||Trad. Por Eduardo Prieto|Buenos Aires|Editorial Paidós|||1961|243||
Parent|Juan|||Un cuerpo propiamente dicho|||Primera|||México, D.F|UNAM|Colección: Lecturas críticas|8|1983|155||
Morrison|Denton E.||Editor|Farmer´s organizations and movement |||Primera|||East Lansing, Michigan|Michigan State University|||1969|116||
Flores Alvarado |Humberto|||Proletaricaión del campesino de Guatemala|||Primera||Trad. Por Humberto Flores Alvarado|[Guatemala]|[Editorial Piedra Santa]|||1977|288|Cuadros|
Wolf|Eric R.|||Una tipología del campesinado latinoamericano|||Primera|||Buenos Aires|Ediciones Nueva Visión||62|1977|100||
Palerm|Angel|||Agricultura y Sociedad en Mesoamérica|||Primera|||México, D.F|SEP|Sep Setentas|55|1972|195|Cuadros|
Wai-Lu|Hou|||Breve historia de la filosofía China|||Primera||Trad. Por Floreal Mazía|Montevideo, Uruguay|Ediciones Pueblos Unidos|||1960|226||
Villanueva Mukul|Eric|||Así tomamos las tierras. Henequén y haciendas en Yucatán durante el Porfiriato|||Primera|||Yucatán, México|Maldonado Editores-INAH|||1984|136|Fotos|
Nolasco|Margarita|||Acta Anthropologica. La tenencia de la tierra en el municipio de San Juan Teotihuacan, Edo. De México||II|Primera|||México, D.F|INAH||3|1962|123|Cuadros|
||||Mesas redondas sobre problemas de las zonas áridas de México|||Primera|||México, D.F|Instituto Mexicano de Recursos Naturales Renovables|||1955|262|Cuadros y mapa|
Mariátegui|José Carlos|||Siete ensayos de interpretación de la realidad peruana|||Primera|||México, D.F|Ediciones Solidaridad||7|1969|374||
Engels|Federico|||Dialéctica de la naturaleza|||Primera||Trad. Por Wenceslao Roces|México, D.F| Editorial Grijalbo|||1961|348||
Montané Martí|Juio César|||Juan Bautista de Anza: Diario del primer viaje a la California, 1774|||Primera|||México|Sociedad Sonorense de Historia|||1989|121||
Cervantes Delgado|Roberto|||Aspectos socioeconómicos del minifundio. El caso de la agricultura en Cholula, Puebla|||Primera|||México, D.F|INAH|||1966|149|Cuadros y fotos|
||||Institutos de estudios peruanos: Aspectos sociológicos del desarrollo en América Latina|||Primera|||Cuernavaca, México|CIDOC||17|1968|feb-00||
Foucaut|Michel|||Las palabras y las cosas|||Primera||Trad. Por Elsa Cecilia Frost|México, D.F|Siglo XXI editores|||1968|375|Ilustración|
Vignalix|Paul|||El pensamiento en la edad media|||Primera|||México|Fondo de Cultura Económica||94|1954|207||
Sepich|Juan R.|||La actitud del filósofo|||Primera|||Buenos Aires|[Cursos de Cultura Católica]|||1946|124||
Schmidt|Alfredo|||El concepto de naturaleza en Marx|||Primera|||México|Siglo XXI editores|||1976|244||
García Bacca|Juan David|||Humanismo teórico, práctico y positivo según Marx|||Primera|||México, D.F|Fondo de Cultura Económica|||1965|92||
Martinet|Gilles|||El marxismo de nuestro tiempo|||Segunda||Trad. Por J. Solé-Tura|Barcelona|Ediciones Península|||1972|122||
Tse-Tung|Mao|||Cuatro tesis filosóficas|||Primera|||Pekín|Ediciones en Lenguas Extranjeras|||1966|150||
Kuusinen|Otto V.|||Principios fundamentales de la filosofía marxista leninista|||Primera|||Bogotá|Ediciones Suramerica|Colección Fundamentos||1964|154||
Fischer|E.|||Lo que verdaderamente dijo Marx|||Primera||Trad. Por José Díaz García|México, D.F|Verlag Fritz Molden|||1970|180||
Nolasco Nuñez|María Esther|||"""La prisión preventiva: Instrumento de victimización"""|||Primera|||México, D.F|Universidad Iberoamericana|||2000|102||
Caballero Urdiales|Emilio|Felipe Zermeño López|Coordinadores|Condiciones competitivas de la agricultura del maíz en México|||Primera|||México, D.F|CEPNA-Nuevo Horizonte Editores|||1993|149|Cuadros|
Díaz Soto y Gama|Antonio|||La cuestión agraria en México|||Primera|||México, D.F|UNAM|||1959|140||
||||Windows Manual del Usuario|||Primera|||USA|Microsoft Corporation|||1990-1992|561|Cuadros|
Maritain|Jacques|||Los grados del saber|II||Primera||Trad. Por Alfredo Frossard|Buenos Aires|Los grados del saber|||1947|365||
Watanabe Takasawa|Tomoko|||¿Quién tiene la voz? Una autoreflexión sobre la cooperación japonesa con los actores locales de San Mar|||Primera|||México, D.F|INAH-SEP-CNCA|||2004|261|Ilustraciones|
García Ortega|Martha|||Nómadas, viajeros y migrantes: La comunidad sin límites de la región nahua del Alto Balsas, Guerrero|||Primera|||México, D.F|ENAH|||2002|195|Fotos, cuadros y mapas|
||||Programa de  fortalecimiento de los consejos municipales|||Primera|||Managua, Nicaragua|UNAG|Colección Pablo UBEDA|3|1983|38|Fotos|
Villafuerte|Daniel|María del Carmen García et al||La cuestión ganadera y la deforestación|||Primera|||Tuxtla Gutiérrez, Chiapas|UNICACH|||1997|215|Cuadros|
Rojas |Rabiela||Coordinadora|El indio en la prensa nacional mexicana del siglo XIX: catálogo de noticias|I||Primera|||México, D.F|CIESAS|Cuadernos de la casa chata||1987|414||
Rozhin|V.P|||La dialéctica marxista-leninista como ciencia filosófica|||Primera|||México|Fondo de Cultura Popular|Colección Economía-Política-Filosofía||1961|325||
Gallegos Rocafull|José M.|||El pensamiento mexicano en los siglos XVI y XVII|||Segunda|||México, D.F|UNAM|||1974|380||
Rosental|M.M|G.M Straks||Categorías del materialismo dialéctico|||Primera||Trad. Por Adolfo Sánchez |México, D.F|Editorial Grijalbo|||1958|376||
Beuchot|Mauricio|||Historia de la filosofúa en el México colonial|||Primera|||Barcelona, España|Editorial Herder|||1996|280||
Bordieu|Pierre|||Cosas Dichas|||Primera|1996|Trad. Por Margarita Mizraji|Barcelona, España|Editorial Gedisa|Colección: El mamífero parlante||[1996]|199||
Aranda |Sergio |||La revolución agraria en Cuba|||Segunda|||México, D.F|Siglo XXI editores|||1969|240|Cuadros|
Celis |Fernando|Rosario Cobo et al|Compiladores|Cafetaleros la construcción de la autonomía|||Primera|||México, D.F|Coordinadora Nacional de Organizaciones Cafetaleras||3|1991|192|Cuadro|
||||El cultivo de café en México|||Primera|||Xalapa, Veracruz|Instituto mexicano del café|||1990|248|Fotos e ilustraciones|
Francovich|Guillermo|||Filósofos brasileños|||Primera|||Buenos Aires|Editorial Losada|||1943|150||
Aboites Aguilar|Luis|||La irrigación revolucionaria|||Primera|||México, D.F|SEP-CIESAS|||1988|350|Cuadros y mapas|
Ardao|Arturo|||Espiritualismo y positivismo en el Uruguay|||Primera|||México, D.F|Fondo de Cultura Económica|Colección Cierra Firme|49|1950|287||
Villegas|Aberlardo|||La filosofía de lo mexicano|||Tercera|||México, D.F|UNAM|||1988|235||
Carr|Edward H.|||¿Qué es la Historia?|||Primera|||Buenos Aires|Planeta-De Agostini|||1993|214||
Francovich|Guillermo|||La filosofía en Bolivia|||Primera|||Buenos Aires|Editorial Losada|||1945|178||
Ruiz Lombardo|Andrés|||Cafeticultura y economía en una comunidad totonaca|||Primera|||México, D.F|INI-CONACULTA|Colección Presencias|40|1991|203|Cuadros|
Téllez Kuenzler|Luis|||La modernización del sector agropecuario y forestal|||Primera|||México, D.F|Fondo de Cultura Económica|||1994|307|Cuadros|
Calva|José Luis||Coordinador|Alternativas para el campo mexicano|II||Primera|||México, D.F|PUAL-UNAM|Colección Economía y Sociedad||1993|215|Cuadros|
Toledo|Víctor M.|||La ecología, los campesinos y el artículo 27|||Primera|||México, D.F|UNAM|||1991|32||
||||El maíz, fundamento de la cultura popular mexicana|||Tercera|2002||México, D.F|García Valadés Editores|||1987|114|Fotos, cuadros e ilustraciones|
Barrón Pérez|Antonieta|Emma Lorena Sifuentes Ocegueda|Coordinadoras|Mercados de trabajo rurales en México|||Primera|||México, D.F|UNAM-Universidad Autónoma de Nayarit|||1997|232||
Maíz |Eugenio|||Jornadas|||Primera|||México, D.F|El Colegio de México||35|1945|90||
Martínez Chiñas|Rosalino|||Las armas del museo también nos hablan de historia|||Primera|||México, D.F|INAH-Museo Nacional de Historia |||1997|23|Fotos|
||||Guía del Maestro. Galería de Historia- Museo del Caracol|||Primera|||México|INAH-CONACULTA-Galería de Historia|||?|38|Fotos|
||||Tesoros del Templo Mayor|||Primera|||Baja California Sur|SEP-INAH-CONACULTA-Gobierno de Baja California Sur|||1991|[40]|Fotos|
Leguizamo|Juan M. Mauricio|Hector García Juárez et al ||La producción agrícola en Chiapas|||Primera||||Centro de Investigaciones Ecológicas del Sureste|Serie Documentos|8||83|Cuadros|
Cebotarev|Nora|Patricia Drolet et al|Editores|La calidad de vida de la familia rural|||Primera||Trad. Por Elizabeth M. Lewis, Susana Raine|San José, Costa Rica|IICA-CIDA-GUELPH|||1981|218|Cuadros|
Barchfield|J.W|||Un marco para la elección de nuevas tecnologías en América Latina||||||[Guanajuato]|Universidad de Guanajuato|||1982|17||
Escobar |Francisco|Margarita Nolasco et al||"""Apoyo a la mujer campesina para su integración en el desarrollo rural"""|||Primera|||Guatemala|FAO|||1985|43[17]|Cuadros|
Fernández|Rodolfo|||Latifundios y grupos dominantes en la historia de la provincia de Ávalos|||Primera|||México, D.F|INAH-Editorial Agata|Colección Científica||1994|192|Cuadros|
Salazar Exaire|Celia|||Uso y distribución del agua en el valle de Tehuacán. El casi de San Juan Bautista Axalpan, Pue. (1610-1798)|||Primera|||México, D.F|INAH|Colección Científica||2000|117|Cuadros e ilustraciones|
Nugent|Daniel|||Conflict Ideological Views of te Ejido in Northern Mexico|||Primera|||Austin, Texas.|University of Texas in Austin||80-03||33||
Nivón Bolán|Amalia|||La participación de profesores de educación primaria en una reforma educativa: El caso de México (1890-1900)|||Primera|||México|INAH|||2004|376|Cuadros|
Gerhard|Peter|||The northern frontier of New Spain|||Primera|||Princeton, New Jersey|Princeton University Press|||1982|454|Cuadros y mapas|
