Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Perezgrovas Garza|Raúl||Los carneros de San Juan. Ovinocultura indígena en los Altos de Chiapas|||3a.|||México|Universidad Autónoma de Chiapas - Instituto de Estudios Indígenas - Produce|||2004|305 pp.|Cuad - Mps|
Zolla|Carlos|Emiliano Zolla Márquez|Los pueblos indígenas de México. 100 preguntas.|||Primera|||México|Universidad Nacional Autónoma de México|La pluralidad cultural en México|1|2004|383 pp.|Cuad|
Valle Borrero Silva|María del||Fundación y primeros años de la gobernación de Sonora y Sinaloa. 1732 - 1750.|||Primera|Primera||Hermosillo|El Colegio de Sonora|||2004|340 pp.|Mps|
Castro Luque|Ana Lucía|et. al.|Cruzando el desierto_ construcción de una tipología para el análisis de la migración en Sonora|||Primera|Primera||Hermosillo|El Colegio de Sonora|||2007|98 pp.||
Giménez Montiel|Gilberto||Teoría y análisis de la cultura||1|Primera|||México|Consejo Nacional para la Cultura y las Artes . ICOCULT|Intersecciones|5|2005|450 pp.||
Ramírez Hernández|Alonso|Sebastián Ramírez Intzin|Cuento del sol y la luna|6||Primera||Trad. Por José Alfredo Melo de R.|México|Cultura de los Indios Mayas - Secretaría de Educación Pública|||1988|63 pp.|Ilus|
Pérez Pérez|Anselmo|Juan de la Torre López|El esqueleto volador|7||Primera|||México|Cultura de los Indios Mayas - Secretaría de Educación Pública|||1988|47 pp.|Ilus|
Bottinelli|Cristina||Migración y salud mental|||Primera|||México|ILEF - Rädda Barnen|||1994|111 pp.|Ilus - Cuad|
Hansen|Niles||Development of the US border regions|||Primera|||Texas|University of Texas|||1981|25 pp.|Cuad|
Consejo Nacional de Población|||Encuesta en la frontera norte a trabajadores indocumentados devueltos por las autoridades de los Estados Unidos de América. Diciembre de 1984 (ETIDEU). Resultados estadísticos.|||Primera|||México|Consejo Nacional de Población|||1986|135 pp.|Cuad|
Academia Mexicana de Ciencias Antropológicas|||Memoria número 1. 2002-2004.|||Primera|||México|Instituto Nacional de Antropología e Historia|||2004|125 pp.|Fts|
UNESCO|||World conference on cultural policies. Situation and trends in cultural policy in member states of Latin America and the Caribbean|||Primera|||México|UNESCO|||1982|86 pp.||
Tamayo|Jesús||Frontera, política reguinal y políticas nacionales en México|||Primera|||México|Centro de Investigación y Docencia Económicas|Documentos de trabajo||1986|67 pp.||
Espinoza|Frida|Jesús Tamayo|El estado de la investigación nacional acerca de la frontera norte de México|||Primera|||México|Centro de Investigación y Docencia Económicas|Avances de investigación||1985|47 pp.|Cuad|
Paz|Octavio||Piedra de sol|||Primera|||México|Editorial Clío, Libros y Videos|||1998|||
Reynoso|Carlos||El surgimiento de la antropología posmoderna|||Primera|||México|Gedisa|||1991|212 pp.||
Reynoso|Carlos||Corrientes de antropología contemporánea|||Primera|||Argentina|Biblos|||1998||Cuad|
Reynoso|Carlos||Apogeo y decadencia de los cultural studies|||Primera|||México||||1999|193 pp.|Cuad|
