Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Fevbre|Lucien||Combartes por la historia|||Segunda edición||Trad. Por Francisco J. Fernández Buey y Enrique Argullol|Barcelona, España|Editorial Planeta de Agostini, S.A de C.V / Editorial Planeta Mexicana, S.A de C.V /Editorial Planeta Argentina, S. A.I .C ||185|1993|245||
Fisas|Carlos||Historias de las reinas de España*La casa de Borbon|||Séptima edición|||Barcelona, España|Editorial Planeta S.A |Colección memoria de la historia||1993|329|Ilustraciones y Fotos|
Fisas|Carlos||Historias de las reinas de España*La casa de Austria|||Cartoceava edición|||Barcelona, España|Editorial Planeta S.A de C.V|Colección memoria de la historia||1993|203|Ilutraciones y Fotos|
Hoernes|Dr. Moritz||Prehistoria II|II||Tercera edición|1952|Trad. Por Luis Pericot|Barcelona, España|Editorial Labor, S-A.|Colección Labor|80|1934|173|Ilustraciones, 10 Láminas y 61 grabados.|
Bosch Gimpera|Dr. Pedro||Historia de Oriente|II||Primera |||Guatemala|Tipografía Nacional de Guatemala, C.A||2957|1951|696|Ilustraciones|
Caro Baroja|Julio||Los judíos en la España moderna y contemporánea|II (Partes III y IV)|II|Primera|||Madrid, España.|Ediciones Arion|Colección Nuevo Ensayo||1961|462|Ilustraciones|
Caro Baroja|Julio||Los judíos en la España moderna y contemporánea|I (Partes I y II)|I|Primera|||Madrid, España.|Ediciones Arion|Colección Nuevo Ensayo||1961|540|Ilustraciones|
Caro Baroja|Julio||Los judíos en la España moderna y contemporánea|III (Parte V y Apéndices)||Primera|||Madrid, España.|Ediciones Arion|Colección Nuevo Ensayo||1961|576|Ilustraciones|
Hadrill- Wallace|J.M||Al oeste Bárbaro|||Tercera||Trad. Por César Magrini|Buenos aires, argentina.|EUDEBA|||1962|218|Mapas|
Burckhardt|Jacob||Reflexiones sobre la historia universal|||Segunda |||México, D.F|Fondo de Cultura Económica/ Colección popular|||1961|331||
Alem|Jean-Pierre||ARMENIA|||Primera||Trad. Por Narciso Binayán|Buenos aires, argentina.|EUDEBA|||1963|119|Mapas|
Barreto |Felicitas||Danzas Indígenas del Brasil|||Primera||Trad. Por Alberto Estrada Quevedo |México, D.F|Instituto Indigenista Interamericano|||1960|138|Fotos|
Weaver|Thomas/  Et al ||Political Oganization and Business Managment in the Gila River Indian Community|||Primera|||Tucson, Arizona|Bureau of Ethic research University of Arizona|||1971|253||
Le Riverend|Dr. Julio.. et al||6 Historia Universal|||Primera|||Cuba|Editorial Pueblo y Educación|||1972|151|Ilustraciones|
Le Riverend|Dr. Julio.. et al||7 Historia  Universal|||Primera|||Cuba|Editorial Pueblo y Educación|||1971|143|Mapas e Ilustraciones|
Le Riverend|Dr. Julio... et al||8 Historia Universal|||Primera|||Cuba|Editorial Pueblo y Educación|||1972|191|Ilustraciones|
Le Riverend|Dr. Julio... et al||9 Historia Universal|||Primera|||Cuba|Editorial Pueblo y Educación|||1972|129|Ilustraciones|
Le Riverend|Dr. Julio.. et al||10 Historia Universal|||Primera|||Cuba|Editorial Pueblo y Educación|||1974|327|Ilustraciones|
Le Riverend|Dr. Julio... et al||11 Historia Universal|||Primera|||Cuba|Editorial Pueblo y Educación|||1974|303|Ilustraciones|
Brodrick|A. Houghton||El hombre prehistórico|||Primera||Trad. Por Chita de la Calle|México, D.F|Fondo de Cultura Económica||107|1955|422|Cuadros y mapas|
Malet|Alberto||Grecia|||Primera|||México, D.F|Ediorial Nacional, S.A.|||1951|168|Grabados y mapas|
Koch|Dr. Julilis||Historia de Roma|||Segunda||Trad. Por José Camón Aznar|Barcelona, España|Editorial Labor, S. A.|||1942|348|Ilustraciones 32 Láminas y 5 mapas|
Piggott|Stuart||Prehistoric India|||Primera|||Gran Bretaña|Pelican Books|||1952|293|Ilustraciones|
|||Historia de la Revolución de Nueva España|||Primera||||||||167||
Polanyi|Karl||Marketless Trading in Hammurabi´s Time|||Primera||||copias||||26||
Radulescu|A.||Monumente Romano-Bizantine din sectorul de vest al cetatil Tomis |||Primera|||Francia|Muzeul Regional de Arheologie Dobrogea||||83|Ilustraciones|
