Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Pérez Ruíz |Maya Lorena|||!Todos somos zapatistas! Alianzas y rupturas entre el EZLN y las organizaciones indígenas de México|||Primera|||México, D.F|INAH|||2005|788|Cuadros y mapa|
Corona|Cristina|Patricia Fournier et al|Coordinadores|Perspectivas de la invstigación arqueológica II. Homenaje a Gustavo Vargas|||Primera|||México, D.F|CONACULTA-INAH|||2006|292|Fotos y mapas|
||||Nuestra experiencia ante los retos del futuro|||Primera|||Comitán, Chiapas.|"Organización de Mujeres Guatemaltecas Refigiadas en México ""Mamá Maquín"""|||1999|75[42]|Cuadros|
Giglia |Angela|Carlos Garma et al|Compiladores|¿A dónde va la antropología?|||Primera|||México, D.F|UAM|||2007|370||
Yanes|Pablo|Virginia Molina et al |Coordinadores|El triple desafío. Derechos, institutciones y politicas para la Ciudad Pluricutura|||Primera|||México, D.F|Gobierno del Distrito Federal-UACM-Secretaría de Desarrollo Social|||2006|418|Mapas y cuadros|
Ortiz Herrera|Rocío|||Pueblos indios, iglesia católica y élites en Chiapas (1824-1901)|||Primera|||Tuxtla Gutiérrez, Chiapas|CONACULTA Chiapas|||2003|259|Mapa|
Aubry|Andrés|Angélica Inda||Los llamados de la memoria|||Primera|||Tuxtla Gutiérrez, Chiapas|CONACULTA Chiapas|||2003|190||
Moguel Viveros |Reyna|||Entre la tradición y la modernidad|||Primera|||Tuxtla Gutiérrez, Chiapas|CONACULTA Chiapas|||2001|258|Mapas, Cuadros y gráficas|
Saravia E. |Albertina|||Popol Wuj|||23|||México, D.F|Editorial Porrúa|"Colección ""Sepan cuantos…"""|36|2004|166|Ilustraciones|
Mediz Bolio|Antonio|||Libro de Chilam Balam de Chumayel|||Primera||Trad. Por Antonio Mediz Bolio|Mérida, Yucatán|Editorial Dante|"Colección ""Sueste"""||2005|190|Ilustraciones|
||||Estudios de historia novohispana||16|Primera|||México|UNAM|||1996|303||
Campos|Fco. Javier|||Fondo manuscrito americano de la biblioteca de San Lorenzo del Escorial|||Primera|||Madrid|Fco.-J. Campos y Fernández de Sevilla|||1993|257|Ilustraciones|
Medina Melgarejo|Patricia|||"""Sobre el lomo de la tierra"" Crear, estar y danzar en la enramada"|||Primera|||México, D.F|INAH|||2004|242|Cuadros y fotos|
García Hernández|Marcela Rocío|Patricia Villaseñor Cabral||Diccionario de la orden del Carmen Descalzo en la Nueva España|||Primera|||México|INAH|||1994|161||
Estévez Nénninger|Etty Haydeé|Patricia Fimbres Barceló||Cómo diseñar y reestructurar un Plan de Estudios|||Primera|||Hermosillo, Sonora.|Universidad de Sonora|||1998|209|Ilustraciones y cuadros|
Garza|Anna María|Sonia Toledo||Mujeres, agrarismo y militancia: Chiapas en la década de los ochena||||||[Chiapas]|Universidad Autónoma de Chiapas||||41[34]||
Pérez Ruiz|Maya Lorena||Coordinadora|Tejiendo Historias.Chiapas en la mirada de las mujeres|||||||||||57|Cuadros y mapas|
Escalante Gonzabo|María de la Paloma|||Violencia, vergüenza y violación ¿Cómo se construye el miedo en la ciudad?|||Primera|||México, D.F|INAH|||2007|115||
||||Antiguas representaciones de maíz|||Primera|2007||México, D.F|CONACULTA|||1982|89|Ilustraciones|
||||Anuario Estadístico del Estado de Chiapas|||Primera|||Aguascalientes, Ags.||||1999|500|Cuadros|
