Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Warman |Arturo|Argueta Arturo|Coordinadores|Movimientos Indígenas|||Primera|||México, D.F|CIIH|||1993|239||
Lejeune|Louis|||La guerra apache en Sonora|||Primera||Trad. Por Michel Antochiw|Hermosillo, Sonora.|Gobierno del Estado de Sonora|||1984|184||
||||Guía general de los fondos que contiene el Archivo General de la Nación|||Primera|||México, D.F|Archivo General de la Nación|||1981|199|Ilustraciones|
Márquez Morfín|Lourdes|Patricia Hernández Espinoza|Coordinadoras|Salud y sociedad en el México prehispánico colonial|||Primera|||México, D.F|CONACULTA-INAH|||2006|439|Cuadros y Gráficas|
Rebón|Juan|||Conflicto armadomy desplazamiento de población|||Primera|||Facultad Latinoamericana de Ciencias Sociales-Miguel Ángel Porrúa||||2001|151|Cuadros y mapas|
Rojas Rabiela|Teresa||Coordinadora|Centro de Investigación, Información y Documentación de los pueblos Indígenas de México|||Primera|||México, D.F|INI|||2003|181|Fotos y cuadros |
Bartolomé|Miguel A.||Coordinador|Visiones de la diversidad||II|Primera|||México, D.F|INAH|Colección etnografía de los pueblos indígenas de México||2005|371|Cuadros y fotos|
Duby |Gertrude |||Los Lacandones: Su pasado y su presente|||Primera|||México, D.F|SEP|||1944|94|Ilustraciones|
||||La enseñanza universitaria de las ciencias sociales: las relaciones internacionales|I||Primera|||Washington, D.C|UNION PANAMERICANA|||1961|74||
||||La enseñanza universitaria de las ciencias sociales: ciencia política|||Primera|||Washington, D.C|UNION PANAMERICANA|||1961|216||
||||Atlas Agropecuario|||Primera|||Aguascalientes, Ags.|INEGI|||1996|81|Mapas|
Pérez-Rocha|Emma|Gabriel Moedano Navarro||Aportaciones a la investigación de archivos del México colonial y a la bibliohemerografía afromexicanista|||Primera|||México, D.F|INAH|||1992|64||
Mellafe|Rolando|||Breve historia de la esclavitud negra en América Latina|||Primera|||México, D.F|SEP|SepSetentas||1973|191||
Le Bot|Yvon|||La guerra en tierras mayas|||Primera||Trad. Por María Antonia Neira Bigorra|México, D.F|Fondo de Cultura Económica|||1995|327|Cuadros y mapa|
