Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Núñez Mata|Efrén||Oaxaca, nombres y signos|||Primera|||México|Instituto Federal de Capacitación del Magisterio - Secretaría de Educación Pública|Técnica y ciencia|39|1964|166 pp.||
Magnus Enzensberger|Hans||Para una crítica de la ecología política|||Primera||Trad. Por Luis Carroggio|Barcelona|Editorial Anagrama|||1974|116 pp.||
Valentínez Bernabé|María de la Luz||La persistencia de la lengua y cultura p'urepecha frente a la educación escolar|||Primera|||México|Secretaría de Educación Pública - Instituto Nacional Indigenista|Etnolingüística|24|1982|220 pp.|Cuad - Mps|
Pérez Betancourt|Antonio|Rodolfo Ruz Menéndez|Yucatán: Textos de su historia||1|Primera|||México|Secteraría de Educación Pública - Instituto Mora - Gobierno del Estado de Yucatán|||1988|414 pp.|Cuad|
Valenzuela Arce|José Manuel||Decadencia y auge de las identidades. Cultura nacional, identidad cultural y modernización|||2a.|||Tijuana|El Colegio de la Frontera Norte - Plaza y Valdés|México Norte||2000|384 pp.||
Albert|Lilia A.||Los plaguicidas, el ambiente y la salud|||Primera|||México|Centro de Ecodesarrollo|||1990|331 pp.|Ilus - Cuad|
Barbault|Robert|Gonzalo Halffter|Ecology of the Chihuahuan desert|||Primera|||México|Instituto de Ecología|Publication|8|1981|167 pp.|Fts - Cuad - Mps|
Buican|Denis||Historia de la Biología|||Primera||Trad. Por José Luis Checa Cremades|Madrid|Acento|||1995|93 pp.||
|||Marginalidad en América Latina. Un ensayo de diagnóstico.|||Primera|||Madrid|Desal - Herder|||1969|418 pp.|Cuad|
Aylesworth|Thomas G.||La crisis del ambiente|||Primera|Primera|Trad. Por José R. Pérez Lias|México|Fondo de Cultura Económica|Popular|125|1982|187 pp.|Fts|
Moreno González|Antonio||La energía|||Primera|||Madrid|Acento|||1997|123 pp.|Cuad|
Pizzorno|Alessandro|et. al.|Gramsci y las ciencias sociales|||3a.|||Córdoba|Pasado y Presente|Cuadernos del pasado y presente|19|1974|170 pp.||
Bustamante|Carlos María de||Historia antigua de Oaxaca|||Primera|||México|Memoria Estadística de Oaxaca|Bibliófilos oaxaqueños||1968|50 pp.||
Enríquez Terrazas|Eduardo|Martha Rodríguez García|Coahuila. Textos de su historia.|||Primera|||México|Gobierno del Estado de Coahuila - Instituto de Investigaciones Dr. José María Luis Mora|||1989|639 pp.|Cuad|
Cholvis|Francisco||Cambios de estructura en América Latina|||Primera|||Argentina|Cuenca Ediciones|||1973|223 pp.||
Unamuno|Miguel de||La tía Tula|||5a.|||México|Editores Mexicanos Unidos|Colección literaria universal||1983|93 pp.||
Pérez Betancourt|Antonio|Rodolfo Ruz Menéndez|Yucatán: Textos de su historia||2|Primera|||México|Secteraría de Educación Pública - Instituto Mora - Gobierno del Estado de Yucatán|||1988|462 pp.|Cuad|
Kneese|Allen V.|et. al.|Managing the environment. International economic cooperation for pollution control|||Primera|3a.||Londres|Praeger Publishers|||1973|356 pp.|Cuad|
Malin|K.||Los recursos vitales de la humanidad|||Primera|||Moscú|Editorial Progreso||||139 pp.||
Careaga Viliesid|Lorena||Quintana Roo. Textos de su historia.|II||Primera|||México|Instituto de Investigaciones Dr. José María Luis Mora|||1990|433 pp.||
Álvarez del Toro|Miguel||¡Así era Chiapas!|||Primera|||Chiapas|Universidad Autónoma de Chiapas|Chiapas|1|1985|542 pp.|Fts|
Dalevuelta|Jacobo||Cariño a Oaxaca|||Primera|||México|Ediciones Botas|||1938|172 pp.|Ilus|
Moreno|José Luis||Ecología, recursos naturales y medio ambiente en Sonora|||Primera|||Hermosillo|Proambiente - Gobierno del Estado de Sonora - El Colegio de Sonora|||1992|404 pp.|Cuad - Mps|
|||Methane generation from human, animal, and agricultural wastes|||Primera|||Washington D.C.|National Academy of Sciences|||1977|131 pp.|Cuad|
|||Breviario jurídico ecológico|||Primera|||México|Secretaría de Desarrollo Urbano y Ecología||||500 pp.|Fts - Cuad|
|||Los plaguicidas y sus peligros|||Primera|||México|PRODUSEPP - CEA|||1987|44 pp.|Ilus|
Meave del Castillo|Jorge||Estructura y composición de la selva alta perennifolia de los alrededores de Bonampak|||Primera|||México|Instituto Nacional de Antropología e Historia|Científica||1990|147 pp.|Ilus - Fts - Cuad - Mps|
Ortíz Pedraza|José Francisco||Envejecimiento: ¿programa genético o desgaste?|||Primera|Primera||México|Instituto Nacional de Antropología e Historia|Científica||1999|187 pp.|Cuad|
|||Primer seminario sobre evaluación de la contaminación ambiental|||Primera|||México|Instituto Mexicano de Recursos Naturales Renovables A.C.|||1972|161 pp.|Fts - Cuad|
|||Proteger y producir. Conservación del suelo para el desarrollo.|||Primera|||Roma|Organización de las Naciones Unidas para la Agricultura y la Alimentación|||1984|40 pp.|Ilus - Fts - Cuad - Mps|
Watershed Management Division|||1994 Regional Assessment of Water Quality in the Rio Grande Basin|||Primera|||Texas|Texas Natural Resource Conservation Commission|||1994|377 pp.|Cuad - Mps|
|||Publicaciones del Bajo Río Coatzacoalcos|||Primera|||||||||Cuad - Mps|
Szekely|Alberto||Establishing a region for ecological cooperation in North America|||Primera|||Albuquerque|International Transboundary Resources Center||||622 pp.||
