Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador /Compilador|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Iglesia|Ramón|||Cronistas e historiadores de la conquista de México|||Primera|||México|SEP|SEP/SETENTAS||1972|328||1
|||Marcelo Quezada G. y Maya Lorena Pérez - Ruiz|EZLN la utopía armada||||||Bolivia|EZLN/ Plural editores|||1998|344||1
White|Gilbert F.|||Natural Hazards||||||USA|Oxford University Press|||1974|288||1
Arias|María Elena|||Geografía de Hispanoamerica||||||Wisconsin|Midwest Materials Development Center|||1976|200||1
||||Atlas Geológico y evaluación geológico- minera del Estado de Sinaloa||||||Sinaloa, México.|Instituto de Geología, UNAM, Secretaría del Desarrollo Económico del Estado de Sinaloa, Gobierno del Estado de Sinaloa.|||1978|202|2|1
