Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
De la mota y Escobar|Alonso|||Descripción Geográfica de los Reynos de Nueva Galicia Nueva Vizcaya y Nuevo León|||Primera|||Jalisco|IJAH||1|1966|130|Ilustraciones|
Barabas|Alicia M.|||Dones, dueños y santos|||Primera|||México, D.F|INAH-Miguel Ángel Porrúa|||2006|288||
||||Microsoft Office 2000|||Primera|||USA|Microsoft|||2000|231||
Montero|Pablo|||Ulúa, puente intercontinental en el siglo XVII|II||Primera|||México|CONACULTA-INAH|||1997|169||
Restrepo |Iván|Gerardo Bernache et al||Los demonios de consumo|||Primera|||México, D.F|Centro de Ecodesarrollo|||1991|272|Cuadros|
Mustacho|Humberto|||Diccionario enciclopédico de México|||Primera|1990||México, D.F|Andrés León|||1989|538|Fotos y cuadros|
Mustacho|Humberto|||Diccionario enciclopédico de México|||Primera|1990||México, D.F|Andrés León|||1989|1668-2240|Fotos y cuadros|
Mustacho|Humberto|||Diccionario enciclopédico de México|||Primera|1990||México, D.F|Andrés León|||1989|1094-1666|Fotos y cuadros|
Mustacho|Humberto|||Diccionario enciclopédico de México|||Primera|1990||México, D.F|Andrés León|||1989|540-1092|Fotos y cuadros|
Merton|Robert K.|||Teoría social y estructural|||Primera|||México, D.F|Editorial Andrés Bello|||1960|122||
Giménez|Gilberto|||Poder, estado y discurso perspectivas sociológicas y semiológicas del discurso político-jurídico|||Tercera|||México, D.F|UNAM|||1989|191||
Alexander|Jeffrey C.|||Las teorías sociológicas desde la segunda guerra mundial |||Tercera|||Barcelona|Editorial Gedisa|||1995|315||
Cabrera |Luis|||Diccionario de aztequismos |||Primera|||México, D.F|Ediciones Oasis|||1974|166||
Horowitz|Irving Louis |||The new sociology|||Primera|1996||New York|Oxford University Press|||1964|512|Cuadro|
Barrene|Alain|Rene Thery et al ||Socialización y persona humana|||Primera|||Barcelona|Ediciones Nova Terra|||1449|385||
Amao|Manríquez|Jorge Luis||Mineros, misioneros y rancheros de la antigua california|||Primera|||México, D.F|Plaza y Valdés Editores|||1997|168|Fotos y cuadros|
Pérez López|Enrique|||Chamula. Un pueblo indígena tzotzil|||Segunda|||Tuxtla Gutiérrez, Chiapas|DIF-CHIAPAS|||1990|185|Fotos|
Humberto Ruz|Mario|||Los legítimos hombres||II|Primera|||México, D.F|UNAM|||1982|323|Ilustraciones, fotos y mapas|
Díaz-Polanco |Héctor||Coordinadora|El fuego de la inobediencia. Autonomía y rebelión india en el obispado de Oaxaca|||Primera|||México, D.F|CIESAS|||1992|214|Cuadros y mapas|
Díaz-Polanco |Héctor|Caros Manzo |Compiladores|Documentos sobre las rebeliones indias de Tehuantepec y Nexapa (1660-1661)|||Primera|||México, D.F|CIESAS|Miguel Othón de Mendizábal||1992|221|Mapa|
Semo|Enrique|Raul Olmedo et al||Modos de producción en América Latina|||Primera|||México, D.F|Ediciones de Cultura Popular|||1978|152||
Davalos|Federico|Virginia Meza||Glosario de Ciencias Histórico-Sociales|||Primera|||México, D.F|Editorial EDICOL|||1977|74||
Pleyán de García López|Carmen|||Nombre. Lengua Española|||Cuarta|||Barcelona|Editorial Teide||1|1969|268|Fotos, ilustraciones y cuadros|
Pleyán de García López|Carmen|||Verbo. Lengua Española|||Cuarta|||Barcelona|Editorial Teide||2|1968|231|Cuadros e ilustraciones|
González Alcantud|José A. |||La tierra. Mitos, ritos y realidades|||Primera|||Barcelona|Editorial Anthropos|||1992|460||
||||Anuario Estadístico de los Estados Mexicanos|||Primera|||Aguascalientes, Ags. |INEGI|||1996|790|Cuadros|
Connaughton|Brian F.|Andrés Lira González|Coordinadores|Las fuentes eclesiásticas para la historia socia de México|||Primera|||México, D.F|"AUM- Instituto de Investigaciones ""Dr. José María Luis Mora"""|||1996|420||
Bracamonte|Pedro|||Historia de los pueblos indígenas de México.La memoria enclausurada.|||Primera|||México, D.F|CIESAS|||1994|253|Cuadros, fotos, mapas|
Dehouve |Daniele|||Historia de los pueblos indígenas de México. Entre el caimán y el jaguar|||Primera|||México, D.F|CIESAS|||1994|210|Cuadros, fotos, mapas|
Matías Alonso |Marcos||Compilador|Rituales y otras costumbres guerrerenses (Siglos XVI-XX)|||Primera|||México, D.F|CIESAS|||1994|181|Cuadros e ilustraciones|
Figueroa |Alejandro|||Por la tierra y por los santos. Identidad y persistencia cultural entre yaquis y mayos|||Primera|||México, D.F|CONACULTA|||1994|414|Cuadros|
Martínez Cruz|Abelardo|||Léxico de Antropología|||Tercera|||Barcelona|Editorial laia|||1975|180||
||||Diccionario de uso corriente|||Primera|||New York|Crown Publishers|||1985|202||
Thompson|E.P|||Historia Social y Antropología |||Primera|1997||México, D.F|"Instituto de Investigaciones ""Dr. José María Luis Mora"""|||1994|82||
Velasco Ortiz|Laura|||El regreso de la comunidad: migración indígena y agentes étnicos|||Primera|||México, D.F|El Colegio de México|||2002|283|Cuadros y mapas|
García de León |Antonio|||Fronteras interiores. Chiapas: una modernidad particular|||Primera|||México, D.F|Editorial Océano de México|||2002|337||
Cruz Burguete |Jorge Luis |||Identidades en fronteras, fronteras de identidades. Elogio de la intesidad de los tiempos en los pueblos de la frontera sur.|||Primera|||México, D.F|El Colegio de México|||1998|352|Cuadros  y Mapas|
Urías Horcasitas|Beatriz|||Indígena y criminal. Interpretaciones del derecho y la antropología en México 1871-1921|||Primera|||México, D.F|Universidad Iberoameriana|||2000|223||
||||Introducción Microsoft Windows 98|||Segunda|||USA|Microsoft Corporation|||1998-1999|138|Cuadros|
Velázquez de la Cadena|Mariano|||New revised Velázquez Spanish and English Dictionary|||Primera|||Chicago|Follett Publishing Company|||1962|778||
Calvert|G.H|||Handy Spanish English, English-Spanish Dictionary|||Primera|1958||New York|David McKay Company|||[1958]|544||
