Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
Broda |Johanna|Stanislaw Iwaniszewski et al|Coordinadores|La montaña en el paisaje ritual|||Primera|||México, D.F|Conaculta-INAH|||2001|488|Fotos y cuadros
Bartolomé|Miguel A.|Alicias M. Barabas|Coordinadores|Autonomías étnicas y Estados nacionales|||Primera|||México, D.F|Conaculta-INAH|||1998|470|Cuadros
||||La Gitanilla, El Licenciado Vidriera|4||Primera|||México|SEP|||1944|94|
Picard|Roger|||El romanticismo social |||Primera||Trad. Por Blanca Chacel |México, D.F|Fondo de Cultura Económica|||1947|363|
González de la Rocha|Mercedes|||Organización y reproducción de las unidades domésticas de la clase trabajadora en Guadalajara|||Primera|||México, D.F|SEP|||1986|43|Cuadro
McLoughlin|Peter F.M.|||African food production systems|||Primera|||Baltimore and London|The Johns Hopkins Press|||1970|318|Fotos y cuadros
Garma Navarro|Carlos|||Buscando el espíritu|||Primera|||Barcelona, España|Plaza y Valdés Editores|||2004|324|
Freyermuth Enciso|Graciela|||Médicos tradicionales y médicos alópatas|||Primera|||Tuxtla Gutiérrez, Chiapas|Gobierno del Estado de Chiapas|||1993|186|
Lapointe |Marie|||Los mayas rebeldes de Yucatán|||Primera|||Mérida, Yucatán|Maldonado Editores|||1997|258|Cuadros y mapas
Berzunza Pinto|Ramón|||Guerra social en Yucatán (Guerra de Yucatán)|||Cuarta|||Mérida, Yucatán|Maldonado Editores|||1997|138|
Bénard|J.|||La concepción marxista del capital|||Primera||Trad. Por Enrique Fernández|Madrid, España|Editorial Villalar|Colección Zimmerwald||1978|421|
Harnecker|Marta|Gabriela Uribe||Capitalismo y socialismo|||Primera|||Córdoba, Argentina|CEP|Cuadernos de Educación Popular||1973|63|Ilustraciones
Lefebvre|Henri|||La vida cotidiana en el mundo moderno|||Primera||Trad. Por Alberto Escudero|Madrid, España|Alianza Editorial|||1972|254|
Castilla del Pino|Carlos|||Dialéctica de la persona, dialéctica de la situación|||Segunda|||Barcelona, España|Ediciones Península|||1970|229|
Chavigny|P.|||Organización del trabajo intelectual||II|Segunda|1951|Trad. Por Jenaro Artiles|México, D.F|Editorial Labor||305|1936|173|Ilustraciones
Leyva Solano|Xochitl|Gabriela Ascencio Franco|Editores|Colonización, cultura y sociedad|||Primera|||Chiapas|UNICACH|||1997|246|Cuadros
Careaga Viliesid|Lorena|||Quintana Roo|I||Primera|||México, D.F|Instituto de Investigaciones Dr. José María Luis Mora|||1990|392|Cuadros
Wheelock Román|Jaime|||Entre la crisis y la agresión|||Primera|||Nicaragua|[Jaime Wheelock Román|||1984|147|Cuadros
||||Política de Crédito para el Sector Agropecuario|||Primera|||Oaxtepec, Morelos|Complejo Editorial Latinoamericano|||1975|210|Cuadros
Mercier|Paul|||Historia de la antropología|||Primera||Trad. Por Agustina Fort y Carme Huera|Barcelona, España|Ediciones Península|||1969|234|
||||Iglesias y Conventos de la Ciudad de México|||Segunda|||México|SEP|||1934|94|Fotos
||||Guinness Enciclopedia de las respuestas|4||Primera|||Madrid, España|Sociedad Comercial y Editorial Santiago Limitada|||1991|79|Fotos y cuadros
