Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Pirenne|Henri||Historia de europa|||Segunda|||México, D.F|Fondo de Cultura Económica|||1956|471||
Torres Fumero /Monal Rodríguez |Constantino/Aleida||Historia Moderna|II||Primera|||La Habana, Cuba|Editorial Pueblo y Educación|||1975|255|Cuadros, mapas e Ilustraciones|
Yoffee|Norman||The economic role of the grown in the old Babylonian Period||V|Primera|||Malibu|Undena Publications|||1977|168||
Díaz- Plaja|Fernanado||La historia de España y sus documentos. El siglo XVI|||Primera|||Madrid, España|Instituto de Estudios Políticos|||1958|818||
Carrasco |Pedro||Estructura Político-territorial del Imperio tenochca (La triple alianza de Tenochtitlán, Tetzcoco y Tlacopan)|||Primera|||México, D.F|Fondo de Cultura Económica /Fideicomiso Historia de las Américas/ El colegio de México|||1996|670|Mapas y Cuadros|
J. Herskovits|Melville||Antropología económica|||Primera||Trad. Por Carlos Silva|México, D.F|Fondo de Cultura Económica|||1954|522|Ilustraciones, cuadros, mapas|
Media Melgarejo|Patricia||"""Sobre el lomo de la tierra"" Crear, estar y danzar en la enramada."|||Primera|||México, D.F|Escuela Nacional de Antropología e Historia|||2005|564|Ilustraciones, Cuadros y Fotos.|
Palma Molina|Abelardo||"""Gobierno de transición y resistencia civil en Chiapas"""|||Primera|||México, D.F|Escuela Nacional de Antropología e Historia|||1998|157||
Guevara Sánchez|Arturo||Los Atapascanos en Nueva Vizcaya|||Primera|||México, D.F|INAH||6|1989|113|Ilustraciones y Fotos|
J. Burrus|Ernest||La obra cartográfica de la provincia mexicana de la compañía de Jesús (1567-1967)||I|Primera|||Madrid, España|Ediciones José Porrúa Turanzas|Chimalistac||1967|247|Foto|
Monroy Gómez|Mario B.||Militarization and Violence in Chiapas|||Primera||Trad. Por Sunita Chethik.|México.|Sipro-CIACH|||1997|90|Fotos y mapas|
Borja |Jordi|Esteban Wario Hdez.  Et al|Desafío metropolitano|||Primera|||México, D.F|UNAM|||2004|237|Mapas y Cuadros|
|||Hacia la Paz|||Primera|||México, D.F|PRD|||1998|86|Cuadros.|
Rodríguez Gallardo|J. Rafael||Informe sobre Sinaloa y Sonora 1750|||Primera|||México, D.F|Archivo General de la Nación|||1975|137||
Gleizer Salzman|Daniela||México Frente  la inmigración de refugidos Judíos 1934-1940|||Primera|||México, D.F|CONACULTA-INAH|||2000|202||
|||Coahuila Resultados definitivos VII censo ejidal|||Primera|||México, D.F|INEGI|||1994|53|Tablas y Cuadros.|
|||Nuevo León Resultados definitivos VII censo ejidal|||Primera|||México, D.F|INEGI|||1993|53|Tablas y Cuadros.|
|||Baja California Resultados definitivos VII censo ejidal|||Primera|||México, D.F|INEGI|||1993|33|Tablas y Cuadros.|
|||Tamaulipas Resultados definitivos VII censo ejidal|||Primera|||México, D.F|INEGI|||1994|53|Tablas y Cuadros.|
|||Chihuahua Resultados definitivos VII censo ejidal|||Primera|||México, D.F|INEGI|||1994|85|Tablas y Cuadros.|
|||Campeche Resultados definitivos VII censo ejidal|||Primera|||México, D.F|INEGI|||1994|37|Tablas y Cuadros.|
|||Encuesta del Estado de Tabasco de Ingresos y Gastos de los hogares|||Primera|||Ags, Aguascalientes.|INEGI|||1998|52|Cuadros |
|||Cuaderno 2: Información estadística sobre relaciones laborales de jurisdicción local del Estado de Chiapas.|||Primera|||Ags, Aguascalientes.|INEGI||2|1999|98|Tablas y Cuadros.|
|||José María Morelos. Estado de Quintana Roo Cuaderno Estadístico Municipal.|||Primera|||Ags, Aguascalientes.|INEGI|||1993|97|Tablas y Cuadros.|
Castillo Hernádez|Mario Alberto||E mundo del color en Cuetzalan: Un estudio etnocientífico en una comunidad nahua|||Primera|||México, D.F|INAH|Colección científica||2000|137|Cuadros|
Martínez G.|José Bonifacio||Chihuahua Hoy|||Segunda|||Chihuahua, México|Centro Librero La Prensa|||1979|116|Ilustraciones, Cuadros y Mapas|
De Vos |Jan||Los enredos de Remesal (Ensayo sobre la conquista de Chiapas)|||Primera|||México, D.F|CONACULTA|||1992|239|Mapas y Fotos|
Otero|Gustavo Adolfo||La piedra mágica. Vida y costumbres de los Indios Callahuayas de Bolivia|||Primera|||México, D.F|Instituto Indigenista Interamericano||5|1951|292|Fotos y Cuadro.|
Moneo|A. Barrios||Francisco de Asis Méndez Casariego. Quién es mi prójimo|||Primera|||Madrid, España|Hermanas Trinitarias|||1981|1106|Ilustraciones y Fotos|
|||La agricultura en Tabasco|||Primera|||Ags, Aguascalientes.|INEGI|||1996|84|Cuadros, Tablas y Mapas.|
|||Encuesta Nacional de Empleo en Zonas Indígenas|||Primera|||Ags, Aguascalientes.|INEGI|||1998|128|Cuadros|
|||La ganaderia en Tabasco|||Primera|||Ags, Aguascalientes.|INEGI|||1996|75|Cuadros, Gráficas.|
|||Encuesta del Estado de Campeche de Ingresos y gastos de los hogares|||Primera|||Ags, Aguascalientes.|INEGI|||1998|53|Cuadros|
|||La Frontera Sur. Un panorama de la población y las viviendas resultados definitivos (XI Censo General de Población y Vivienda, 1990) |||Primera|||Ags, Aguascalientes.|INEGI|||1993|44|Cuadros|
