Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Porras Muñoz|Guillermo|||El nuevo descubrimiento de San José del Parral|||Primera|||México, D.F|UNAM||39|1988|239||
González|Alvaro|||Oaxaca Tierra de la pluralidad. La Guelaguetza: Breve Semblanza|||Primera|||Oaxaca, Oax.|Instituto Oaxaqueño de las Culturas|||1993|66|Mapas y Fotos|
Castañeda|Carmen||Compiladora|Historia Social de la Universidad de Guadalajara|||Primera|||México, D.F|CIESAS|||1995|210|Cuadros|
Camou Healy|Ernesto|Rocío Guadarrama et al||Historia contempóranea de Sonora 1929-1984|||Segunda|||Hermosillo, Son.|Colegio de Sonora|||1988|712|Cuadros|
Toledo|Alejandro||Coordinador|Riqueza y pobreza en la costa de Chiapas y Oaxaca|||Primera|||México|Centro de Ecología y Desarrollo|||1994|492|Cuadros, mapas e ilustraciones|
Pacheco Castro|Jorge Atocha|||Desarrollo citrícola, cambio y persistencia sociocultural en la sociedad campesina de Dzan, Yucatán|||Primera|||México, D.F|INAH-SEP|||2000|571|Fotos y gráficas|
Meyer Cosío|Rosa María|||Identidad y prácticas de los grupos de poder en México, siglos XVII-XIX|||Primera|||México, D.F|INAH|||1999|276||
||||Omo Nerd|||Primera|||México|ENAH||10|1994|40|Fotos|
||||Omo Nerd|||Primera|||México|ENAH||6|1993|33|Fotos|
||||Omo Nerd|||Primera|||México|ENAH||4|1993|31|Cuadros e ilustraciones|
||||Omo Nerd|||Primera|||Mexico|ENAH||2|1993|41|Ilustraciones|
||||Omo Nerd|||Primera|||México|ENAH||1||38|Ilustraciones|
Piñera Ramírez|David||Coordinador|Panorama histórico de Baja California|||Primera|||[Baja California]|UAEM-UABC|||1983|732|Fotos, cuadros, mapas e ilustraciones|
Mauss|Marcell|||Sociología y Antropología||||||Madrid|Editorial Tecnos||||263||Parte 1 de Compendio
Lévy-Bruhl|Lucien|||El alma primitiva|||||||Ediciones Península||||91||Parte 2 de Compendio
Malinowski|Bronislaw|||Una teoría científica de la cultura y otros ensayos|||Sexta|||Buenos Aires|Ediciones Sudamerica||||153||Parte 3 de Compendio
Malinowski|Bronislaw|||Los argonautas del pacífico occidental|||||||Ediciones Península||||95-505||Parte 4 de Compendio
Firth|Raymond||Compilador|Temas de Antropología Económica|||||||Fondo de Cultura Económica||||149||Parte 5 de Compendio
Malinowski|Bronislaw|||Hombre y Cultura|||||Trad. Por Ramón Valdés|México|Siglo XXI||||249||Parte 6 de Compendio
||||La política Indígena del PRI|||Primera|||México|PRI|||1997|32|Fotos|
Hervas|Lorenzo|||Catálogo de las lenguas conocidas||1|Primera|||México, D.F|UNAM|||1979|343||
Anguiano Téllez|María Eugenia|||Estructur agraria y migración en el valle de Mexicalli|||Primera|||Mexicalli, B.C|UABC||5|1985|23||
||||Lecturas de Ceestem. Maquiladoras|||Primera||||CEESTEM||||100|Cuadros y Fotos|
||||Academia Mexicana de Ciencias Antropólogicas|||Primera|||México, D.F|INAH||1|2004|125|Fotos|
