Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Num de edición|Reimpresión|Traducción|Lugar de edicion|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Mendieta Alatorre|Ángeles||Métodos de investigación y manual académico|||6a.|||México|Editorial Porrúa|||1975|213 pp.|Ilus - Cuad|
Aguirre Beltrán|Gonzalo||El proceso de aculturación|||Primera|||México|Centro de Investigaciones y Estudios Superiores en Antropología Social|Ediciones de la Casa Chata|15|1982|226 pp.||
Godelier|Maurice||Esquemas de evolución de las sociedades|||Primera|||Cuba|Instituto del Libro de La Habana|De bolsillo básica|15||98 pp.|Cuad|
Benedict|Ruth||The chrysanthemum and the sword|||Primera|18a.||Japón|Charles E. Tuttle Company|||1967|324 pp.||
Arias Pérez|Jacinto|et. al.|El arreglo de los pueblos indios: la incansable tarea de reconstitución|||Primera|||México|Secretaría de Educación Pública - Gobierno del Estado de Chiapas - Instituto Chiapaneco de Cultura - Unidad de Escritores Mayas Zoques|||1994|463  pp.|Fts|
Frankle Hecht|Eleanor||Diccionario hak'xub'al-kastiya español-jacalteko. Un diccionario de hablantes.|||Primera|||México|Potrerillos Editores|||1998|229 pp.|Fts - Mps|
Harvey|Neil||La rebelión de Chiapas|||Primera|Primera|Trad. por Rafael Vargas|México|Ediciones Era|Problemas de México||2001|301 pp.|Cuad - Mps|
Sandoval Forero|Eduardo A.|Juan Carlos Pariño|Cartografía automatizada para la investigación de regiones indígenas|||Primera|||México|Universidad Autónoma del Estado de México|||2000|74 pp.|Cuad - Mps|
Cardoso de Oliveira|Roberto||Os diários e suas margens. Viagem aos territórios Terêna e Tükúna|||Primera|||Brasil|Editora Universidade de Brasilia|||2002|346 pp.|Fts|
López Silva|Concepción||Parteras y promotoras rurales de salud en la zona Selva de Chiapas|||Primera|||México|GIMPRAP|Cuadernos de trabajo|6|1999|115 pp.|Ilus|
Manchip White|J. E.||Teach yourself anthropology|||Primera|2a.||Gran Bretaña|The English Universities Press|Teach yourself||1967|190 pp.|Ilus - Fts - Cuad|
Johnson|H. M.|et. al.|Naturaleza, cultura y personalidad||158|Primera||Trad. por Emma Kestelboim et. al.|Argentina|Editorial Paidós|Biblioteca del hombre contemporáneo||1967|156 pp.|Cuad|
Boas|Franz||Primitive art|||Primera|||New York|Dover Publications|||1955|327 pp.|Ilus - Fts|
León|María del Carmen|et. al.|Del katún al siglo. Tiempos de colonialismo y resistencia entre los mayas.|||Primera|||México|Consejo Nacional para la Cultura y las Artes|||1992|286 pp.|Fts - Mps|
Escobar Latapí|Agustín||Con el sudor de tu frente. Mercado de trabajo y clase obrera en Guadalajara.|||Primera||Trad. por Pastora Rodríguez Aviñoá|México|El Colegio de Jalisco|Estudios sociales|2|1986|312 pp.|Cuad|
Messmacher|Miguel||La interdependencia en la frontera norte de México|||Primera|||México|Consejo Nacional para la Cultura y las Artes|Regiones||1990|213 pp.|Cuad|
Rodríguez|Nemesio J.|Stefano Varese|Experiencias organizativas indígenas en américa latina|||Primera|||México|Secretaría de Educación Pública|||1981|168 pp.||2
Tanori Villa|Cruz Arcelia||La mujer migrante y el empleo|||Primera|||México|Instituto Nacional de Antropología e Historia|Divulgación||1989|82 pp.||
Baudot|Georges||La pugna franciscana por México|||Primera|||México|Consejo Nacional para la Cultura y las Artes - Alianza Editorial Mexicana|Los noventa||1990|338 pp.||
Millán|Saúl|et. al.|Historia y etnografía de la fiesta en México. Bibliograf{oa general.|||Primera|||México|Instituto Nacional Indigenista|Fiestas de los pueblos indígenas||1994|337 pp.||
