Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Coordinador/Compilador/ Editor|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas
||||Mujer y Sida-Programa Interdisciplinario de Estudios de la mujer|||Primera|||México, D.F|El Colegio de México|[Jornadas 121]||1992|158|Cuadros
Berlinguer|Giovanni|||Medicina y Política|||Primera|||Cuernavaca, Morelos|Ediciones círculo de estudios|||1977|143|Cuadros
Fernández |Sergio|||Homenajes a Sor Juana, a López Velarde, a José Gorostiza|||Primera|||México, D.F|SEP|SepSetentas|36|1972|187|
Galindo|Sergio|||El Bordo|||Segunda|||México, D.F|Fondo de Cultura Económica|Colección Popular|12|1960|210|
López|Rafael|||La Venus de la Alameda|||Primera|||México, D.F|SEP|SepSetentas|77|1973|186|
Cohen|Gerda L.|||What´s wrong with Hospitals?|||Primera|||Australia|Penguin Books|||1964|194|
Castaneda |Carlos|||A separate reality|||Primera|1976||New York|Pocket Books|||1972|263|
Foucault|Michel|||El nacimiento de la clínica. Una arqueología de la mirada médica|||Primera||Trad. Por Francisca Perujo|México, D.F|Siglo XXI Editores|||1966|293|
||||Acción indigenista en la zona cora huichol|||Primera|||México|SEP-INI|||1971|155|Fotos y cuadros
Lechuga|Ruth D.|||El traje indígena de México|||Primera|1990||México, D.F|Panorama Editorial|||1982|260|Fotos e ilustraciones
Nahmad|Salomón|Otto Klineberg et al ||El peyote y los huicholes|||Primera|||México|SEP|SepSetentas|29|1972|196|Foto
Hersch Martínez|Paul|||Destino Común: los recolectores y su flora medicinal|||Primera|1999||México, D.F|INAH|||1996|262|Fotos, cuadros y mapas
Ochoa Robles|Héctor Antonio|||Medicina moderna en un mundo mágico. Un estudio médico-social en el yaqui|||Primera|||Sonora|Gobierno del Edo. De Sonora|||1990|162|Fotos y cuadros
Menéndez|Eduardo L.|Renée B. Di Pardo||De algunos alcoholismos y algunis saberes|||Primera|||México|CIESAS|||1996|328|Cuadros
Snaidas|Adolf|||El teatro de Xavier Villaurrutia|||Primera|||México, D.F|SEP|SepSetentas||1973|206|
Kafka |Franz|||Metamorfosis|||Primera|||Madrid|Alianza Editorial|||1966|144|
Howard|William|||Calícula|||Primera||Trad. Por J. M Álvarez Flórez y Ángela Pérez|Barcelona|Ediciones Grijalbo|||1979|281|
Sin|Lu|||Antiguos relatos vueltos a contar|||Segunda|||Pekín|Ediciones en Lenguas Extranjeras|||1972|163|
García Marquéz|Gabriel|||La aventura de Miguel Littin clandestino en Chile|||Primera|||México, D.F|Editorial Diana|||1986|152|
