Apellidos de autor|Nombre de autor|Segundo autor, nombre y apellidos|Coordinador/ Compilador/ Editor|Titulo del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editoriales|Colección|Número| Año|Núm de páginas|Ilustraciones, fotos, cuadros, mapas|Cantidad
Nolasco|Margarita|||Conquista y dominación del noroeste de México: el papel de los jesuitas|||Primera|||México|INAH|Científica||1998|126|Mapas|
Gerhard|Peter|||Geografía Histórica de la Nueva España 1519-1821|||Primera|||México|INAH|||1986|493|Mapas|
||||Casas de interes social 1965|||Primera|||México|INV|||1966|54|Fotos|
Nolasco |Margarita|||Los otomies del mezquital. Epoca post-revolucionaria||||||México|INAH|||1965|637 a 656|Fotos|
Nolasco |Margarita|||El ecodesarrollo, la ciencia y la tecnica del pueblo||VL||||México|INAH||1|1980|94 a 104||
Nolasco |Margarita|||America: Indios, indigenismo y politica||||||México|||||304 a 306|Fotos y cuadros|
||||Los Yaquis|||Primera|||México|INI|||1981|2|Fotos y mapas|
||||Los Pápagos|||Primera|||México|INI|||1981|2|Fotos y mapas|
||||Los Kikapúes |||Primera|||México|INI|||1981|2|Fotos y mapas|
||||Los Tarahumaras|||Primera|||México|INI|||1981|2|Fotos y mapas|
||||Grupos indígenas de Baja California|||Cuarta|||México|INI|||1977||Fotos y mapas|
||||Los Seris|||Primera|||México|INI|||1981|2|Fotos y mapas|
Forde |Daryll|||Hábitat, Economía y sociedad |||Primera|||España|Ediciones oikos-tau|||1967|521|Ilustraciones|
Olivares Correa|Martha|||Primer directorio de la escuela de arquitectura del siglo XX|||Primera|||México|Instituto Politécnico Nacional|||1996|265|Ilustraciones|
Basauri|Carlos|||Tojolabales, tzeltales y mayas |||Primera|||México|Talleres Graficos de la Nación |||1931|163|Fotos y cuadros|
Vargas Melgarejo|Luz María|||Los colores lacandones: la percepción visual de un pueblo maya|||Primera|||México|INAH|||1998|117|Fotos|
Gutiérrez Ibarra|Celia|||Documentos sobre la colonización de Texas 1827-1831|||Primera|||México|INAH|||1991|96||
Santiago Alvarez|Silvestre|||Defenza de los Americanos|||Primera|||México|Editorial Stylo|||1994|51||
Jimenez Moreno|Wigberto|||Los Estudios de la Historia Precolonial de México (1937-1950)|||Primera|||México|INAH|||1952|72 a 83||
Toussaint|Manuel|||Monumentos coloniales relacionados con Hidalgo|VI||Primera|||México|INAH|||1955|125 a 133|Fotos|
||||Guia de campo del investigador social|||Primera||||Union Panamericana. Washington,D.C.|||1956|101||
||||Anuario estadístico del sector comunicaciones y transportes|||Primera|||México|Secretaria de comunicaciones y transportes|||1991|118|Cuadros|
||||El canal samaria, Golfo de México|||Primera|||México|Economistas tabasqueños, A.C.||||89||
Cárdenas Morales |Natividad |||El debate en torno a la cuestión indígena |||Primera|||México|Acción Afirmativa|||2001|322||
Aguirre Beltran |Gonzalo|||Medicina y magia |||Primera|1973||México|INI|||1963|443||
Greenberg|James B.|||Religión y economía de los chatinos|||Primera||Jaime Rivero Toscana|México|INI|||1987|311|Cuadros|
Rousseau|Pierre|||La conquista de la cincia |||Segunda||Manuel Tamayo||Ediciones Destino |||1958|309|Ilustraciones y fotos|
Aguirre Beltrán |Gonzalo|||Pobladores del papaolapan: biografía de una hoya|||Primera|||México|Ciesas|||1992|245|Mapas|
Kirk|Carlos R.|||Haciendas en Yucatan|||Primera|||México|INI|||1982|301|Ilustraciones, fotos y cuadros|
Benítez|Fernando|||Viaje a la tarahumara |||Primera|||México|Ediciones ERA, S.A.|||1960|86|Fotos|
Lapointe|Marie|||Los Mayas Rebeldes de Yucatan |||Primera|||México|El colegio de Michoacan|||1983|258||
Ochoa Zazueta|Jesús Angel|||Los Kiliwa|||Primera|||México|INI|||1978|394|Mapasy cuadros|
Báez-Jorge|Félix|||Los Zoque- Popolucas|||Primera|||México|INI|||1973|245|Fotos y cuadros|
Bennett|Wendell C.|Robert M. Zingg||Los tarahumaras|||Primera||Celia Paschero|México|INI|||1978|595||
Aguilar|Íñigo|||El problema de la educación indígena |III||Primera|||México|INAH|cientifica||1991|991|Cuadros|2
Aguilar|Íñigo|||El problema de la educación indígena |II||Primera|||México|INAH|cientifica||1991|587|Cuadros|2
