Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
|||Archivo Histórico del Distrito Federal|||Primera|||México, D.F|Gobierno del Distrito Federal|||2000|481|Fotos e Ilustraciones|
|||Hablantes de Lengua Indígena|||Primera|||Ags, Aguascalientes.|INEGI|||1993|516|Cuadros|
|||Chiapas. Resultados definitivos. Tabulados básicos. XI Censo General de Población y Vivienda, 1990.|III||Primera|||Ags, Aguascalientes.|INEGI|||1991|1622|Mapas y Cuadros|
|||Programa de desarrollo e integración comercial en las fronteras |||Primera|||México, D.F|Secretaría de Comercio|||1978-1982|144|Cuadros|
|||México Frente a la era de la Información|||Primera|||México, D.F|Academia Mexicana de Ciencias|||1999|54|Cuadros, esquemas y gráficas.|
Piho Lange|Virve||El peinado entre los mexicas. Formas y significados.|||Primera|||México, D.F|Facultad de Filosofía UNAM|||1973|362|Ilustraciones y Cuadros|
|||Tabasco. XIV Censo Industrial, XI Censo Comercial y XI Censo de Servicios|||Primera|||Ags, Aguascalientes.|INEGI|||1995|175|Gráficas|
|||Quintana Roo. XIV Censo Industrial, XI Censo Comercial y XI Censo de Servicios|||Primera|||Ags, Aguascalientes.|INEGI|||1995|145|Gráficas|
|||Anuario Estadístico del Estado de Chiapas|||Primera|||Ags, Aguascalientes.|INEGI|||1994|397|Cuadros, Mapas y Gráficas|
|||VIII Censo General de Población -1960/ Estado de Chiapas|||Primera|||México, D.F|Secretaría de Industria y Comercio|||1963|838|Cuadros|
Díaz Polanco|Héctor||Autonomía Regional- La autodeterminación de los pueblos.|||Segunda|||México, D.F|Siglo XXI|||1996|266|Cuadros|
Gutiérrez|Arturo||La peregrinación a Wirikuta|||Primera|||México, D.F|CONACULTA-INAH/Universidad de Guadalajara|||2002|310|Ilustraciones, Fotos, Mapas y esquemas|
Guzmán|Adriana||Mitote y universo cora|||Primera|||México, D.F|CONACULTA-INAH/Universidad de Guadalajara|||2002|191|Ilustraciones|
Millán |Saúl|Paola García Souza|Lagunas del tiempo|||Primera|||México, D.F|INAH|||2003|161|Ilustraciones|
Mora|Teresa||La Fiesta Patronal de San Bartolo Ameyalco|||Primera|||México, D.F|INAH|||2003|131|Fotos y mapas|
Magriñá|Laura||Los coras entre 1531 y 1722|||Primera|||México, D.F|INAH|||2002|367|Fotos, Cuadros y Diagramas|
|||Ethnic Relations|||Primera|||Bristol|University of Bristol||||23||
Gijsbers|Wim||De Cazadores a guarda-venados|||Segunda|||Oax, México.|Gobierno del Estado de Oaxaca|||2002|70|Fotos|
Basauri|Carlos||La población indígena de México|I||Primera|||México, D.F|SEP|||1940|363|Fotos, mapas e ilustraciones|
Bonfil Batalla |Guillermo||México profundo. Una civilización negada|||Primera|||México, D.F|Editorial Grijalbo|||1990|250||
Lery|F.||La alimentación|||Segunda||Trad. Por Mariano Orta Manzano|Barcelona, España|Ediciones Martínez Roca|||1968|189|Fotos y Gráficas|
|Cazaneuve|Jean|Encyclopédie Larousse de poche L´ethnologie|||Primera|||París, Francia.|LAROUSSE|||1967|383|Fotos|
|||Mujer rural, Medio ambiente y salud en la selva Lacandona|||Primera|||México, D.F|Secretaría de Gobernación-CONAPO.||||||
Lenkersdorf|Carlos||Cosmovisión Maya|||Primera|||México, D.F|Editorial de Ce-Acatl|||1999|75|Fotos y Cuadros|
