Apellidos de autor|Nombre del autor|Segundo autor nombre y apellido|Título del libro|Tomo|Volumen|Núm de edición|Reimpresión|Traducción|Lugar de edición|Editorial -les|Colección|Número|Año|Número de páginas|Ilustraciones - Fotos - Cuadros - Mapas|Cantidad
Trejo|Leopoldo||Los que hablan la lengua. Etnografía de los zoques chimalapas|||Primera|||México, D.F|INAH|||2004|165|Fotos y Cuadros|
Millán|Saúl|Julieta Valle|La comunidad sin límites /Estructura social y organización comunitaria en las regiones indígenas de México||II|Primera|||México, D.F|INAH|||2003|343|Cuadros, mapas y fotos|
Millán|Saúl|Julieta Valle|La comunidad sin límites /Estructura social y organización comunitaria en las regiones indígenas de México||III|Primera|||México, D.F|INAH|||2003|341|Cuadros e Ilustraciones|
Ribeiro|Darcy||Fronteras inígenas de la civilización|||Primera||Trad. Por Julio Rossiello|México, D.F|Siglo XXI||1172|1971|419|Cuadros y mapas|
Batalla Bonfil |Guillermo||Hacia nuevos modelos de relaciones interculturales|||Primera|||México, D.F|CONACULTA|||1993|263|Cuadros|
Briones|Claudia||La alteridad del Cuarto Mundo|||Primera|||Buenos aires, Argentina|Ediciones del Sol|||1998|284|Fotos |
Jones|Grant||El manuscrito Can Ek|||Primera|||México, D.F|INAH|Colección Divulgación||1991|72||
Stavenhagen|Rodolfo||Problemas étnicos y campesinos|||Primera|||México, D.F|Instituto Nacional Indigenista|Colección INI|60|1980|191|Cuadros|
Carbo|Teresa||Los indígenas|||Primera|||México, D.F|SEP|||1982|294||
Kirchhoff|Paul||La etnología: Temas y tendencias|||Primera|||México, D.F|UNAM|||1988|362|Ilustraciones, Cuadros y Fotos|
Barth |Fredrik||Ethnic and boundaries /The social organization of culture difference |||Primera|||Norway|Universitetesforlaget|||1969|153|Cuadros y mapas|
Villoro|Luis||Los grandes momentos de indigenismo en México|||Tercera|||México, D.F|FCE|||1996|303|Cuadros|
N. Adams|Richard||Encuesta sobre la cultura de los ladinos en Guatemala|||Segunda||Trad. Por Joaquín Noval|Guatemala|"Centro Editorial ""José Pineda Ibarra"""||2|1964|300|Mapas y Cuadros|
Ochoa Zazueta|Jesús Ángel||La tiara azul|||Primera|||Mexicalli, B.C|Editorial El Correo|||1998|108||
|||La tecnología latinoamericana|III||Primera|||Madrid, España|CIFCA|||1979|120|Cuadros|
Mellano |Virginia|Carlos Zolla|La atención al embarazo y el parto en el medio rural mexicano|||Primera|||México, D.F|CIESS|||1989|162|Cuadros|
Farquhar|John W.||The american way of life need not be hazardous to your health|||Primera|||California|The portable stanford||||193|Fotos, cuadros e ilustraciones|
|||Pueblos indios, soberanía y globalismo|||Primera|||Quito, Ecuador|Ediciones Abya-Yala|"Colección ""Biblioteca Abya-Yala"""|32|1996|400|Mapas y Cuadros|
|||La tecnología latinoamericana|I||Primera|||Madrid, España|CIFCA|||1979|138||
|||Handbook on human nutritional requirements|||Primera|||Geneva|World Health Organization|||1974|66|Tablas|
De castro|Josué||Geografía del hambre|||Tercera||Trad. Por Horacio A. Maniglia|Buenos aires, Argentina|Ediciones Solar |||1969|284|Mapa|
Nahmad Sittón|Salomón||Fuentes etnológicas para el estudio de los pueblos ayuuk (mixes) del estado de Oaxaca|||Primera||Trad. Por Álvaro González|Oax, México.|CIESAS|Colección Dishá-antropología||1994|639|Cuadros, mapas e ilustraciones|
González |Luis||Pueblo en vilo|||Primera|||México, D.F|El colegio de México|||1968|365|Fotos y mapa|
Huamán |Carlos||Pachachaka, puente sobre el mundo. Narrativa, memoria y Símbolo en la obra de José María Arguedas|||Primera|||México, D.F|CM-UNAM|||2004|354||
Islas García|Luis||Apuntes para el estudio del Caciquismo en México|||Primera|||México, D.F|Editorial Jus|||1962|181||
De Castro|Josue||Jornadas|||Primera|||México, D.F|Colegio de México||49||39||
Dittmer|Kunz||Etnología General, Formas y evolución de la cultura|||Primera|||México, D.F|Fondo de Cultura Económica|||1960|342|Ilustraciones y Fotos|
Odena Guemes|Lina||Obras escogidas de Bonfil Guillermo|I||Primera|||México, D.F|Instituto Nacional Indigenista /INAH/CONACULTA|||1995|420|Ilustraciones y Cuadros|
Odena Guemes|Lina||Obras escogidas de Bonfil Guillermo|II||Primera|||México, D.F|Instituto Nacional Indigenista /INAH/CONACULTA|||1995|839|Cuadros|
Odena Guemes|Lina||Obras escogidas de Bonfil Guillermo|III||Primera|||México, D.F|Instituto Nacional Indigenista /INAH/CONACULTA|||1995|328||
Odena Guemes|Lina||Obras escogidas de Bonfil Guillermo|IV||Primera|||México, D.F|Instituto Nacional Indigenista /INAH/CONACULTA|||1995|635|Cuadro|
|||Heritage of conquest|||Primera|||Glencoe, Illinois|The free press||||312|Cuadros|
Cardoso de Oliveira|Roberto||Enimas e solucoes |||Primera|||Río de Janeiro|Edicoes Universidade Federal do Ceará||68|1983|208|Gráficos|
|||Trabajos y conferencias |I||Primera|||Madrid, España|Universidad de Madrid|||1952|36||
Stavenhagen|Rodolfo||Problemas y perspectivas de los Estados multiétnicos|||Primera|||México, D.F|Universidad de las Naciones Unidas|||1986|25||
Brill|Brill||Development studies: |Critique and renewal||Primera|||Leiden, Netherlands||||1986|94||
Valencia |Enrique ||Indigenismo y Etnodesarrollo||XLIV||||||||1984|52||
Adams|Richard N.||Etnias en evolución social/ Estudios de Guatemala y Centroamérica|||Primera|||México, D.F|Casa abierta al tiempo||93|1995|439|Cuadros, Mapas y Figuras|
Jaulin|Robert||La paz blanca|||Primera||Trad. Por Silvia Delpy|Buenos Aires, Argentina|Editorial Tiempo Contempoáneo|||1973|374|Diagrama|
Cortés Ruiz|Efrain||San Simón de la Laguna|||Primera|1990||México, D.F|INI-CONACULTA|Colección Presencias|23|1972|165|Fotos y Cuadros|
Aramoni|Ma. Elena ||Talokan tata, talokan nana: nuestras raíces|||Primera|||México, D.F|CONACULTA-INAH|||1990|283|Cuadros|
Toussaint|Manuel||Oaxaca y Tasco|||Primera|||México, D.F|SEP|||1967|174|Ilustraciones|
Caso|Alfonso|Silvio Zavala et al|La política indigenista en México|I||Segunda|||México, D.F|INI|Colección SEP-INI|20|1973|319||
|||Legislación Indigenista del Ecuador|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1954|115||
|||Legislación Indigenista de Guatemala|||Primera|||México, D.F|Instituto Indigenista Interamericano|||1954|135||
Sierra|María Teresa||La Lucha por los derechos indígenas en el Brasil actual |||Primera|||México, D.F|CIESAS|Colección Miguel Othón de Mendizábal||1993|154|Cuadros|
Sandoval Forero|Eduardo Andrés||Población y cultura en la etnorregión mazahua (jañtjo)|||Primera|||México, D.F|UAEMéxico|||1997|133|Cuadros|
Esteva-Fabregat|Claudia||Introducción a las fuentes etnográficas y la América indígena ||||||Madrid, España|Editorial MAPFRE |||1995|124|Mapa|
Denman |Kathy||La élite norteamericana en la ciudad de México|||Primera|||México, D.F|INAH||34|1980|95|Cuadros|
Icazuriaga|Carmen||El enclave sociocultural norteamericano y el papel de los empresarios norteamericanos en México|||Primera|||México, D.F|INAH||35|1980|93|Cuadros|
